Gene,EOL-1,HEL,Molm-13,MonoMac1,MV4;11,NB-4,OCI-AML2,OCI-AML3,OCI-AML5,P31-FUJ,PL-21,SKM-1,TF-1,THP-1
ADAMTS20,0.065,-0.352,-0.529,-0.061,-0.043,0.271,0.13,-0.16,-0.028,-0.212,-0.087,-0.035,-0.79,-0.784
ADARB1,-0.586,-0.798,0.134,-0.039,0.167,-0.189,0.098,0.017,-0.255,-0.316,-0.291,-0.764,-1.224,-0.568
ADCK2,-0.799,-0.241,-0.085,0.112,-0.361,-0.658,-0.049,-0.042,-0.486,-0.38,-0.864,-0.106,-0.945,-0.544
ADCK4,-0.503,0.018,-0.995,-0.171,-0.965,-0.113,-0.457,-0.168,-0.519,-0.627,-0.602,-0.107,-0.639,0.317
ADCY4,-0.531,-0.034,-0.988,0.233,-0.378,-0.419,-0.384,-0.334,-0.402,-0.083,-0.316,0.373,-1.096,-0.28
ADCY7,-0.2,-0.553,-0.465,-0.115,-1.559,-0.687,-0.307,-0.926,-0.586,-0.622,-0.714,-0.255,0.086,0.091
ADCY8,-0.047,0.078,0.138,0.18,-0.235,0.045,-0.351,-0.982,0.191,0.036,-0.645,-0.287,0.354,-0.396
ADD2,0.114,-0.452,-0.998,-0.621,-0.942,-0.079,-0.367,-0.791,-0.993,-0.178,-0.707,-0.743,-0.622,-0.301
ADGB,-0.31,-0.601,-0.013,0.175,-0.319,-0.044,0.168,-0.047,-0.196,-0.201,-0.425,-0.18,-1.053,0.125
ADIPOR1,0.564,-0.335,-0.822,-0.456,-0.199,-0.244,-0.36,-0.328,-0.562,-0.19,-0.803,-0.793,-0.391,-1.112
ADORA2A,0.435,-0.558,0.586,0.093,-0.286,-0.252,-0.137,0.456,-0.155,-0.478,-0.749,-0.041,-0.48,0.267
ADRA1D,0.127,-0.582,-0.88,0.103,-0.388,-0.891,-0.227,0.324,0.107,-0.35,-0.003,-0.073,0.139,-0.668
ADRB2,0.158,0.119,0.511,0.007,0.918,0.245,0.124,-0.471,-0.087,-0.069,-0.009,0.261,-0.137,-0.18
ADRBK1,-0.449,0.019,-0.574,-0.102,-0.401,-0.523,-0.505,0.225,-0.032,-0.11,-0.54,0.663,0.156,0.089
ADRBK2,-0.141,-0.519,-0.205,-0.272,0.136,-0.397,0.022,0.14,0.328,0.079,0.038,0.344,-1.095,0.05
AEBP1,-0.115,-0.104,-0.353,-0.034,-1.244,-0.766,-0.52,-0.251,-0.28,-0.468,-0.649,-0.492,-0.684,0.139
AEBP2,-0.061,0.49,-0.887,-0.763,-0.862,-0.541,-0.476,-1.195,-0.24,0.137,-0.14,0.003,-0.488,0.497
AFM,-0.638,0.112,-0.179,0.074,0.296,0.061,0.033,0.558,0.36,0.135,-0.44,0.114,-0.32,-0.18
AFMID,-0.057,-0.085,-0.772,-0.762,-0.291,-0.652,-0.378,-0.479,-1.628,-0.106,-0.027,-0.507,-0.7,-0.564
AGFG1,0.049,0.037,-0.594,0.171,-0.143,-1,-0.153,-0.154,-0.078,0.397,0.045,0.164,-0.233,-0.333
AGFG2,-0.263,-0.697,0.139,-0.359,-0.485,-0.217,-0.225,0.013,-0.491,-0.738,-0.352,-0.243,-0.967,0.115
AGK,-0.283,0.257,1.22,0.008,0.514,0.46,0.469,0.043,0.438,-0.228,0.19,0.158,0.201,0.112
AGO1,0.008,-0.278,-0.972,-0.332,-0.014,0.165,0.045,-0.27,0.118,-0.209,-0.482,-0.167,0.334,-0.089
AGPAT3,-0.141,-0.706,-0.544,-0.056,-0.075,-0.184,-0.219,-0.831,-0.778,-0.004,-0.435,-0.252,-0.245,-1.328
AGRN,-0.242,-0.69,-0.377,-0.941,-0.072,-0.217,0.466,-0.046,0.024,0.317,-0.526,-0.466,-0.488,0.114
AGRP,-0.392,-0.484,0.079,0.202,-0.36,-0.082,-0.032,-0.256,-1.089,-0.124,0.164,0.048,-0.357,-0.13
AGTPBP1,0.001,0.607,-0.597,-0.35,-0.412,-0.395,-0.107,-0.226,-0.239,-0.097,-0.217,0.447,-0.524,-0.13
AGTRAP,-0.93,0.003,-0.303,-0.008,-0.483,-0.293,0.215,-0.42,-0.566,0.037,-0.71,-0.208,-0.65,-0.386
AHCYL2,-0.1,0.366,0.092,0.069,-0.135,-0.297,0.015,-0.346,-0.016,-0.153,0.461,-0.391,-1.007,-0.039
AHSA1,-0.125,-0.35,-0.134,-0.393,0.341,-0.21,-1.48,0.367,-0.02,-0.071,-0.35,-0.551,-0.153,0.412
AIRE,-0.556,-0.696,-1.183,-0.375,-0.309,-0.018,-0.614,-0.212,-0.947,-0.601,0.104,-0.119,-0.87,-0.641
AKAP8,0.09,-0.304,-1.353,-0.103,-0.186,-0.219,-0.077,-0.303,-0.804,-0.253,-0.523,-0.081,0.144,-0.354
AKR1B1,-0.1,-0.297,-0.221,-0.169,-0.175,-0.534,-0.123,-0.172,-0.562,-0.229,-0.345,0.221,-1.177,-0.054
AKT2,-0.386,-0.14,-1.869,-0.481,-0.858,0.02,-0.177,-0.885,0.395,-0.887,-0.849,-0.657,-0.185,-0.698
AKTIP,-0.319,-0.194,0.245,-0.5,0.038,-0.341,0.23,-0.769,0.601,-0.466,-0.403,0.039,-0.456,0.172
ALDH1B1,-0.304,-0.434,-0.294,0.225,-0.163,0.338,-0.147,0.122,-0.19,-0.078,-0.256,-0.38,-1.015,-0.419
ALDH5A1,0.328,-0.071,-0.402,0.509,0.293,0.131,0.164,-0.014,-0.415,-0.232,-0.534,0.18,-0.152,-0.373
ALG10,-0.618,0.072,-0.239,-0.191,-0.365,-0.281,0.211,-0.591,0.26,0.306,-0.565,0.11,-0.548,-0.848
ALG10B,-0.249,0.183,0.044,-0.524,0.442,-0.357,-0.423,-0.321,0.321,-0.258,-0.668,-0.575,0.13,-0.415
ALG5,0.201,-0.215,0.29,0.041,0.122,0.508,-0.015,0.333,0.403,-0.685,-0.181,-0.907,-0.063,-0.241
ALG8,0.064,-0.802,0.224,-0.335,-0.319,0.191,-0.167,0.088,0.032,-0.713,-0.238,-0.925,-0.941,-0.09
ALLC,-0.33,-0.632,-0.019,0.529,0.323,0.147,-0.002,-0.086,-0.171,-0.114,-0.073,0.068,-0.709,-0.005
ALMS1,-1.4,-0.508,-0.216,-0.564,-0.552,-0.432,-0.197,-0.455,-0.531,-0.639,-0.51,-0.36,-0.88,-0.083
AMD1,-0.64,-0.344,-0.635,-0.384,0.091,-0.407,-0.539,-0.007,-0.877,-0.323,-0.986,-0.89,-1.469,-0.148
AMDHD1,0.037,-0.037,-0.592,-0.362,-0.308,-0.125,0.097,-1.011,-0.536,0.241,-0.062,0.189,-0.696,-0.446
AMER2,-0.68,-0.027,-0.822,-0.63,0.101,-0.357,-0.155,-0.225,-0.115,-0.642,0.193,-0.166,-0.906,-0.159
AMFR,-0.486,-0.416,-0.614,0.062,-0.307,-0.861,-0.346,-0.174,-0.052,-0.157,-0.491,-0.127,0.05,0.393
AMIGO3,0.04,0.008,0.027,0.207,-0.033,-0.117,-0.07,-0.03,-0.273,-0.142,-0.643,-0.129,-0.989,-0.631
AMN1,0.214,0.518,0.244,-0.242,0.496,-0.512,-0.22,-0.419,0.683,0.23,-0.239,-0.035,0.647,-0.701
ANKFY1,-0.442,0.174,-0.574,-0.671,-0.279,-0.972,-0.768,-0.104,-0.719,-0.151,-1.416,-0.589,-0.486,-0.521
ANKRD10,-0.128,0.321,-0.147,0.047,-0.1,-0.303,0.036,-0.14,-0.063,-0.684,-1.155,-0.047,0.233,-0.367
ANKRD26,0.174,-0.029,0.346,0.05,-0.015,0.289,0.287,-0.03,0.38,0.581,0.783,-0.315,0.911,0.414
ANKRD39,-0.196,-0.43,-0.606,0.245,-0.108,-0.244,-0.26,0.188,-0.483,0.267,0.161,0.08,-0.767,0.157
ANKRD44,-0.187,0.18,0.004,-0.005,0.136,-0.169,0.417,-0.674,0.111,-0.126,-0.416,0.647,-0.135,-0.296
ANO7,0.451,-0.321,-0.54,-0.106,-0.478,-0.391,0.063,-0.545,-0.399,0.195,-0.115,0.525,-0.331,-0.591
ANP32B,-0.625,-0.712,-0.926,-0.131,-1.137,0.225,-0.97,0.078,-0.192,-0.897,-0.192,-0.398,-0.313,-0.118
ANP32D,-0.475,-0.153,0.444,0.133,0.44,0.452,0.112,0.235,0.503,0.504,-0.056,0.051,-0.355,-0.115
ANTXRL,0.287,-0.561,-0.276,-0.017,-0.541,-0.713,-0.243,-0.101,-0.586,-0.685,-0.332,-0.108,-1.209,-0.016
ANXA3,-0.195,0.119,0.186,-0.572,0.096,0.207,0.087,-0.22,0.547,0.103,-0.133,0.357,-0.26,0.728
ANXA9,-0.094,-0.715,-0.019,0.064,-0.283,-0.454,-0.453,-0.518,-1.321,-0.284,-0.234,-0.071,-0.889,-0.348
AP1S2,-0.477,-0.152,0.419,-0.079,-0.545,-0.309,0.047,-0.803,0.041,0.017,-0.233,-0.271,0.451,-0.438
AP2B1,0.174,-0.786,-0.673,0.058,-0.279,-1.333,0.283,0.301,0.218,0.332,0.281,0.328,-0.038,-0.459
AP3B1,-0.43,-0.087,-0.246,-0.018,-0.036,0.327,-0.163,-0.455,-0.608,0.023,0.136,-0.082,-0.787,-0.777
APBA1,0.133,-0.457,-1.028,0.202,-0.244,0.13,0.191,-0.289,-0.307,-0.056,-0.565,0.247,-0.38,-0.539
APH1B,0.19,-0.106,-0.876,-0.277,0.12,-0.462,0.061,0.069,-0.178,0.283,0.741,0.293,-1.293,0.422
APOM,-0.106,-0.887,-1.009,-0.673,-0.224,-0.327,0.036,0.307,-0.285,-0.617,-0.583,-0.557,-0.714,-0.58
APP,0.01,-1.195,-0.778,-0.466,-0.066,0.35,-0.175,0.217,-0.688,-0.422,-0.537,-0.081,-0.234,-0.055
APPBP2,1.884,0.147,0.141,0.723,1.23,0.248,0.692,1.293,0.653,0.368,0.835,0.412,-0.193,0.205
APPL2,-0.248,-1.062,-0.55,0.228,0.178,-0.652,-0.21,-0.049,-0.301,-0.336,-0.604,-0.204,-0.626,-0.172
AQPEP,-0.341,-0.039,0.569,0.307,0.173,-0.51,0.203,-0.309,0.006,0.089,-0.34,-0.174,0.354,-0.343
ARAF,0.158,0.501,0.594,0.154,0.663,0.351,0.52,-0.191,0.39,0.287,-0.198,0.899,0.765,0.426
ARF5,-0.594,0.092,0.62,-0.077,-0.019,0.23,0.201,-0.012,0.237,-0.174,-0.871,-0.328,-0.681,-0.521
ARFGEF1,-0.656,0.419,-1.131,-0.574,-0.816,-0.549,-0.159,-0.326,-0.295,-0.204,-0.242,0.009,-0.622,-0.433
ARFGEF2,-0.11,-0.528,-0.758,-0.156,-0.337,0.152,0.065,-0.37,-0.21,-0.146,-0.412,-0.625,-1.279,-0.298
ARHGAP11A,-0.448,-0.159,0.138,-0.159,-0.167,-0.881,-0.045,-0.311,0.074,0.029,-0.301,0.281,-0.845,-1.214
ARHGAP30,0.337,-0.052,-0.6,-0.419,-0.542,-0.472,0.005,0.234,-0.597,0.149,-0.151,1.073,-0.114,-0.077
ARHGEF16,-0.49,-0.25,-0.505,-0.282,-0.322,0.166,0.141,0.227,-1.214,0.163,-0.605,-0.403,-0.471,-0.3
ARHGEF5,-0.285,0.382,-0.668,-0.007,-0.26,-0.327,-0.145,0.14,0.174,-0.347,-1.131,0.012,-0.068,-0.27
ARHGEF7,-0.056,0.108,-0.062,0.316,-0.041,-0.002,-0.086,0.077,0.248,-0.781,-0.895,-0.21,-0.155,-0.277
ARID1B,-0.931,-0.61,-0.843,-0.425,-0.197,-0.49,-0.536,-0.56,-0.583,-0.945,-0.645,0.285,-1.318,0.041
ARID3B,-0.337,-0.993,-0.516,-0.148,-0.863,0.097,-0.169,-0.388,-0.671,-0.736,-0.873,-0.632,-0.662,-1.09
ARID4A,-1.136,-0.092,-0.21,-0.574,-0.378,-0.694,0.241,0.78,-0.382,0.06,-0.647,0.732,-0.419,0.481
ARIH2,-0.534,-0.131,-0.36,0.211,0.063,0.028,-0.008,-0.78,0.902,-0.073,-0.05,-0.268,-0.56,-1.41
ARL1,0.015,-0.292,-0.213,-0.092,0.211,0.07,-0.161,-0.53,0.219,0.187,-0.118,-0.286,-0.113,-1.099
ARL10,0.227,0.185,-0.325,-0.009,-0.855,-0.042,0.323,-0.661,-0.317,0.398,-0.386,-0.044,0.425,-0.398
ARL14EP,-0.053,0.719,-0.231,0.053,0.542,0.535,0.243,-0.205,0.196,0.284,-0.189,0.342,0.653,-1.125
ARL4D,-0.305,-1.257,-0.508,-0.292,-0.356,0.12,-0.423,-0.148,-0.518,-0.061,-0.291,-0.026,-0.526,0.005
ARL8B,0.039,-0.605,-0.568,-0.718,0.006,-0.625,-0.601,-0.036,-0.069,-0.707,-0.26,-0.874,-1.026,-0.283
ARMS2,-0.189,0.286,-0.678,-0.206,-0.209,-0.15,0.001,0.065,-0.757,-0.224,0.256,-0.421,-0.741,-0.361
ARNT,0.366,-0.224,-0.484,-0.873,-0.776,-0.43,-0.324,-0.947,-1.749,-0.017,-0.367,-0.38,-0.197,-0.942
ARPC5,-0.386,-0.176,-0.124,0.1,-0.166,-0.043,-0.436,-0.532,-0.559,-0.784,-1.137,-0.276,-0.077,-0.323
ARRDC2,-0.018,0.015,-0.169,-0.097,-0.53,-0.199,0.462,-0.266,0.012,-0.175,0.138,-0.128,-0.999,0.048
ARSJ,-0.048,-0.53,-0.564,-0.845,-0.686,-0.399,-0.677,0.104,-0.784,0.043,-0.854,0.034,-0.048,-0.915
ARVCF,-0.633,-0.45,-0.456,-0.479,-0.873,-0.234,-0.765,-0.605,-0.79,-0.848,0.139,-0.002,-0.989,-0.469
ASB11,-0.045,0.154,0.336,0.615,-0.072,-0.287,0.52,0.187,-0.211,-0.213,0.308,-0.163,-0.405,-0.342
ASB13,0.303,-0.322,0.08,0.067,-0.057,0.245,-0.034,-0.327,-0.15,0.131,-0.251,-0.205,-1.025,0.337
ASB3,0.192,0.059,0.017,-0.641,0.454,-0.102,0.298,-0.798,0.348,0.072,0.234,0.363,0.82,-1.812
ASB7,0.197,0.196,0.027,0.107,0.08,0.355,0.245,-0.749,0.418,0.335,-0.164,-0.061,1.133,-0.858
ASCL5,0.141,0.105,-0.124,-0.497,0.448,0.152,-0.102,-0.33,-0.345,0.185,-1.05,0.217,0.049,0.156
ASF1A,0.174,-0.282,-0.211,0.082,0.59,0.293,0.292,0.138,0.286,0.166,0.055,0.568,-0.888,0.077
ASPN,-0.156,-0.247,0.57,0.109,0.426,0.182,0.065,-0.04,0.32,0.038,-0.451,-0.325,-0.601,-0.259
ASTL,-0.273,0.197,-0.374,-0.161,0.018,-0.419,-0.064,-0.209,-0.184,-0.824,-0.021,-0.412,-1.096,0.047
ATAD1,-0.342,-0.522,1.539,0.15,0.479,-0.234,-0.718,0.102,0.495,0.022,-0.78,-0.311,-0.044,0.097
ATAD2,-0.737,-0.318,-0.968,0.056,-0.579,0.125,-0.152,-0.106,-1.071,0.44,-0.381,-0.6,-0.3,0.163
ATF7IP,1.187,0.03,0.08,0.113,-0.067,-0.138,-0.206,-0.375,-0.347,-0.57,-0.086,-0.232,-0.304,-1.196
ATG14,-0.979,-0.108,-0.519,0.264,-0.194,0.309,0.222,-0.232,-0.23,-0.402,0.45,0.104,-0.223,0.317
ATG3,-0.221,-0.843,-0.685,-0.504,-0.105,0.204,0.286,-0.304,-0.205,-0.106,-0.155,-0.247,-0.952,-0.964
ATG5,-0.178,-0.887,-0.957,-0.171,-0.028,-0.127,-0.585,-0.027,-0.026,-0.273,-0.506,0.057,-0.937,-0.748
ATG9A,-0.275,-0.3,-0.507,-0.186,-0.344,0.398,0.204,-0.306,-0.096,-0.802,-0.006,-0.885,-0.477,-0.294
ATM,0.559,-0.44,0.577,-0.064,0.461,0.236,0.562,0.005,0.748,-0.083,-0.047,-0.072,-0.588,-0.137
ATP11A,-0.144,0.201,-0.446,-0.184,-0.288,-0.044,-0.048,0.409,-0.194,-0.991,-0.915,-0.146,0.283,-0.103
ATP11B,-0.351,0.118,0.191,-0.377,-0.039,-0.374,0.154,-0.81,-0.51,-0.136,-0.086,-0.431,-1.14,-0.593
ATP2A1,-0.201,-0.719,-0.989,0.065,-0.554,-0.713,-0.506,-0.199,-1.009,-0.483,-0.846,-0.139,-0.487,-0.5
ATP2B2,0.194,-0.211,-0.372,0.201,-0.618,0.119,0.164,0.307,-0.375,-0.051,-0.627,0.194,-0.631,-0.342
ATP2B3,0.015,0.137,-0.148,-0.33,0.14,0.003,-0.164,0.218,-0.389,0.313,-0.823,-0.573,-0.925,-0.129
ATP4B,0.08,0.346,-0.637,-0.38,-0.172,-0.153,0.047,0.093,0.225,-0.351,-0.923,0.211,0.53,0.048
ATP5SL,-0.418,-0.343,0.307,-0.033,-0.826,0.332,-0.481,-1.005,-0.573,-0.455,-0.314,0.028,0.087,-0.736
ATP6V0E1,-0.845,0.244,-1.875,-0.007,-0.897,-0.452,0.07,-0.065,-0.165,-0.147,-0.436,0.12,-0.018,-0.223
ATP7A,0.153,0.034,-0.636,0.092,-0.412,0.227,0.312,0.327,-0.293,0.115,0.159,0.122,-0.5,-0.528
ATP8B4,-0.035,-0.06,0.621,-0.831,-0.083,0.059,0.206,-0.076,0.533,-0.09,0.275,-0.393,0.229,0.189
ATP9A,-0.127,-0.482,-0.106,-0.176,-0.464,-0.779,-0.116,-0.827,0.096,-0.493,-0.656,-0.557,-1.264,-0.37
ATRN,-0.166,-0.681,-1.032,-0.47,-0.724,-0.225,-0.402,0.068,-0.736,-0.894,-0.608,-0.505,-0.833,-0.154
AUH,-0.841,-0.481,-0.185,-0.237,-0.814,-0.109,0.056,-0.773,-0.81,-0.547,0.272,0.018,-0.47,0.058
AVEN,-0.431,0.007,-0.837,-0.233,-0.649,-0.035,-0.663,-0.321,-0.387,-0.8,-0.105,0.043,-0.479,0.221
AVP,0.429,-0.318,-0.176,-0.422,0.015,-0.284,0.125,0.539,0.113,-0.128,-0.722,-0.309,0.036,-0.054
B2M,0.351,0.02,0.379,0.25,0.343,-0.213,0.367,-0.265,0.353,0.162,0.125,-0.944,-0.153,0.109
B3GALT5,-0.162,-1.003,-0.524,-0.275,-0.38,-0.126,-0.359,-0.604,-0.101,-0.709,-0.366,0.092,-0.979,-0.058
B3GALT6,0.312,-0.194,-0.835,-0.282,-0.666,-0.082,-0.083,-0.147,-0.569,0.146,-1.034,-0.004,-0.348,-0.075
B3GNT3,-0.348,-0.013,-0.897,-0.326,-0.397,-0.312,-0.139,-0.196,-1.152,-0.412,-0.823,-0.245,-0.972,-0.307
B3GNT6,0.191,-0.351,-0.25,-0.087,-0.529,-0.075,-0.064,0.206,-0.179,0.084,-0.464,-0.171,-0.982,0.126
B4GALT1,-0.612,-0.845,-0.612,-0.469,-0.856,-0.66,-0.178,-0.084,-0.572,-0.239,-0.688,0.16,-0.819,0.034
B4GALT3,-0.031,-0.391,-0.044,-0.456,-0.069,-0.413,-0.253,-0.077,-1.049,-0.169,-0.699,-0.853,-0.823,-0.117
BACE2,-0.408,-0.94,-0.886,-0.752,-0.584,0.321,-0.963,-0.36,-0.574,-0.126,-0.049,-0.215,-0.122,-0.403
BAHD1,-0.003,0.522,0.775,-0.297,0.491,0.174,0.211,-0.214,0.062,-0.172,0.112,0.095,-0.24,0.385
BAI1,0.062,0.113,-0.829,-0.286,-0.232,0.005,-0.078,-0.314,-0.511,0.371,-0.197,-0.487,-1.144,-0.249
BAIAP2,0.208,-0.771,-0.99,-0.465,-0.142,-0.619,-0.547,-0.345,-0.718,-0.249,-0.639,-0.245,-0.812,-0.246
BANP,-0.979,-0.602,-0.685,-0.618,-0.19,-0.183,-0.449,-0.21,-0.575,-0.605,-0.025,0.033,-1.027,-0.526
BARD1,-0.818,0.254,-1.008,-0.31,-0.472,-0.199,-0.396,-0.749,-0.806,-0.368,-0.227,-0.035,-0.349,-0.809
BARX1,0.388,-0.841,-0.098,-1.12,-0.759,-0.049,0.044,-0.257,0.132,0.043,-0.403,-0.325,0.301,-0.197
BAZ1A,0.186,0.085,-0.014,-0.539,0.454,-0.317,0.021,-1.56,0.593,-0.137,-0.024,0.549,0.401,-0.365
BCKDHA,-0.729,-0.53,-1.144,0.056,-0.288,-0.506,-0.283,-0.409,-0.052,-0.022,-0.121,-0.216,0.37,-0.139
BCL11A,-0.906,-0.072,-0.232,-0.326,-0.58,-0.615,-0.74,0.005,0.396,-0.15,-0.212,0.313,0.194,-0.79
BCL3,-0.117,0.052,-0.944,-0.106,-0.926,0.024,-0.313,0.178,-0.229,-0.095,-0.416,-0.336,-0.799,-0.186
BCL7A,-0.315,-0.34,-0.856,-0.061,-0.121,-0.249,0.006,0.233,-0.097,0.288,-0.436,0.15,0.167,0.554
BCL7C,-0.062,-0.956,-0.414,-0.145,-0.158,-0.544,-0.417,-1.083,-0.227,-0.65,-0.493,-0.264,-0.471,0.033
BCL9,-0.118,-0.258,0.074,0.012,0.003,-0.114,-0.105,-0.669,-0.375,-0.145,-0.611,-0.007,-1.217,0.021
BCMO1,0.428,-0.017,-0.031,-0.289,0.201,-1.211,-0.173,-0.118,-0.423,-0.211,-0.173,-0.185,-0.405,0.428
BCORL1,-0.215,-0.231,-0.114,-0.104,-0.116,0.584,-0.384,0.307,-0.052,-0.456,0.71,-0.127,-0.686,-0.125
BDH1,-0.038,0.041,-0.338,-0.329,-0.083,-0.025,-0.402,0.112,-0.167,-0.246,0.317,-0.825,-1.218,-0.114
BEND3,-0.348,0.555,-0.495,-0.524,-0.014,-0.147,-0.411,-0.152,-0.548,0.074,-0.16,0.486,-1.391,-0.026
BEX4,0.228,0.412,0.107,-0.216,0.452,-0.166,-0.004,-0.726,0.582,-0.027,-0.075,-0.034,0.304,0.021
BHLHE22,-0.13,-0.478,-0.792,-0.611,-1.282,-0.329,-0.745,-0.177,-0.58,-0.447,-0.007,-0.645,-0.446,-0.837
BLK,-0.21,0.183,-0.856,-0.421,-0.334,0.03,-0.079,-0.015,-0.482,-0.309,0.1,0.037,0.381,0.104
BLMH,0.463,-0.229,0.428,-0.069,0.048,-0.484,0.01,0.475,0.027,-0.12,-0.342,-0.075,0.353,0.88
BLOC1S3,-0.628,0.04,-0.465,0.202,-0.703,0.186,-0.384,0.076,-0.559,-0.418,-0.648,0.19,-1.124,-0.16
BMI1,0.131,-0.071,-1.265,-0.088,0.066,0.234,-0.151,0.302,-0.166,-0.502,0.679,0.157,0.207,0.441
BMP2K,0.213,-0.804,0.283,0.039,-0.441,0.702,0.031,-0.299,-0.209,0.127,0.416,-0.318,-0.163,0.066
BMPR2,-0.366,0.466,0.211,-0.719,0.035,-0.181,-0.228,-1.002,0.322,-0.394,-0.289,-0.243,0.114,0.026
BNIP1,-0.154,-0.306,-0.9,-0.658,-0.396,-0.153,-0.73,-0.702,-0.927,-1.163,-0.914,-0.717,-0.122,-0.958
BOD1L1,-0.181,-0.769,-0.209,0.302,-0.391,-0.785,-0.352,-0.192,0.02,-0.068,0.586,-0.03,-1.334,0.082
BOLA2,-0.524,-0.455,-1.265,-0.359,-0.762,-0.611,-0.629,-0.316,-0.544,-0.427,0.17,-0.665,-0.169,-0.502
BOLA2B,-0.524,-0.455,-1.265,-0.359,-0.762,-0.611,-0.629,-0.316,-0.544,-0.427,0.17,-0.665,-0.169,-0.502
BRAT1,-0.505,-0.436,0.11,-0.13,-0.049,-1.029,-0.639,-0.1,-0.772,-0.674,-0.179,-0.241,-0.393,0.334
BRCC3,0.023,-0.441,0.508,-0.202,-0.042,0.018,0.242,0.369,0.522,0.037,0.022,0.336,-0.613,0.005
BRD3,-0.713,-0.554,-0.268,0.111,-0.786,-0.719,-0.644,-0.667,-1.191,-0.659,-0.344,0.004,-0.849,-0.866
BRK1,-0.222,-0.044,-0.998,0.135,-0.702,-0.013,-0.228,0.074,0.04,0.121,-0.021,0.077,-0.614,0.171
BRWD1,-0.028,-0.808,-0.06,0.629,0.537,0.129,-0.195,0.655,-0.243,0.407,0.525,0.178,-1.331,0.346
BRWD3,0.091,-0.23,-0.499,0.001,0.11,0.338,0.005,0.569,-0.319,0.421,-0.011,0.516,-0.394,0.358
BSCL2,-0.351,-0.241,-0.663,-0.186,-0.142,-0.037,-0.267,0.311,-0.644,-0.052,-0.123,-0.004,-1.067,-0.435
BSN,0.204,-0.296,-0.48,-0.309,-0.023,0.079,-0.546,-0.429,-0.691,-0.165,-0.678,-0.306,-0.948,0.021
BST2,-0.531,0.086,-0.452,-0.466,-0.584,-0.201,0.268,-0.037,-0.739,-0.661,-0.15,-0.258,-1.494,-0.166
BTBD1,-0.85,-0.224,-0.056,-0.047,-0.19,-0.257,-0.029,-0.576,-0.731,-0.093,0.016,-0.171,-1.287,-0.399
BZRAP1,-0.536,-0.41,-0.99,-0.232,-1.132,-0.404,-0.215,-0.338,-0.64,0.03,-0.152,0.041,-0.443,-0.313
C10orf111,0.051,0.088,0.699,0.342,-0.088,0.345,0.259,0.377,0.16,0.202,0.155,0.024,-0.753,-0.032
